report_year,facility_id,jurisdiction_code,facility_name,registered_business_name,primary_anzsic_class_name,substance_id,substance_name,air_total_emission_kg,suburb,state,postcode,latitude,longitude,report_year_1,postalcode_2,pr_rank
2016/2017,549268,VIC,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,Waste Treatment and Disposal Services,20,Carbon monoxide,99051.02284,Clayton South,VIC,3169,-37.956586,145.119643,10,31,
2016/2017,549268,VIC,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,Waste Treatment and Disposal Services,69,Oxides of Nitrogen,135360.2982,Clayton South,VIC,3169,-37.956586,145.119643,10,31,
2016/2017,549268,VIC,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,Waste Treatment and Disposal Services,92,Particulate Matter ?2.5 ‘m (PM2.5),2571.845666,Clayton South,VIC,3169,-37.956586,145.119643,10,31,
2016/2017,549268,VIC,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,Waste Treatment and Disposal Services,70,Particulate Matter ?10.0 ‘m (PM10),2707.205964,Clayton South,VIC,3169,-37.956586,145.119643,10,31,
2016/2017,549268,VIC,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,Waste Treatment and Disposal Services,77,Sulfur dioxide,1620.007993,Clayton South,VIC,3169,-37.956586,145.119643,10,31,
2016/2017,524810,VIC,Dandenong,ACE WASTE PTY LTD,Waste Treatment and Disposal Services,20,Carbon monoxide,1145.45,Dandenong,VIC,3175,-38.022162,145.192089,10,31,
2016/2017,524810,VIC,Dandenong,ACE WASTE PTY LTD,Waste Treatment and Disposal Services,69,Oxides of Nitrogen,5283.48,Dandenong,VIC,3175,-38.022162,145.192089,10,31,
2016/2017,524810,VIC,Dandenong,ACE WASTE PTY LTD,Waste Treatment and Disposal Services,92,Particulate Matter ?2.5 ‘m (PM2.5),175.23,Dandenong,VIC,3175,-38.022162,145.192089,10,31,
2016/2017,524810,VIC,Dandenong,ACE WASTE PTY LTD,Waste Treatment and Disposal Services,70,Particulate Matter ?10.0 ‘m (PM10),176.06,Dandenong,VIC,3175,-38.022162,145.192089,10,31,
2016/2017,524810,VIC,Dandenong,ACE WASTE PTY LTD,Waste Treatment and Disposal Services,77,Sulfur dioxide,232.866,Dandenong,VIC,3175,-38.022162,145.192089,10,31,
2016/2017,526496,VIC,OI Melbourne Plant,ACI OPERATIONS PTY LTD,Glass and Glass Product Manufacturing,20,Carbon monoxide,4491.24,Spotswood,VIC,3015,-37.831506,144.891109,10,30,
2016/2017,526496,VIC,OI Melbourne Plant,ACI OPERATIONS PTY LTD,Glass and Glass Product Manufacturing,69,Oxides of Nitrogen,625691.54,Spotswood,VIC,3015,-37.831506,144.891109,10,30,
2016/2017,526496,VIC,OI Melbourne Plant,ACI OPERATIONS PTY LTD,Glass and Glass Product Manufacturing,92,Particulate Matter ?2.5 ‘m (PM2.5),7464.44,Spotswood,VIC,3015,-37.831506,144.891109,10,30,
2016/2017,526496,VIC,OI Melbourne Plant,ACI OPERATIONS PTY LTD,Glass and Glass Product Manufacturing,70,Particulate Matter ?10.0 ‘m (PM10),23716.91,Spotswood,VIC,3015,-37.831506,144.891109,10,30,
2016/2017,526496,VIC,OI Melbourne Plant,ACI OPERATIONS PTY LTD,Glass and Glass Product Manufacturing,77,Sulfur dioxide,167265.41,Spotswood,VIC,3015,-37.831506,144.891109,10,30,
2016/2017,534628,VIC,AGL Werribee Biogas Facility,AGL ENERGY SALES & MARKETING LIMITED,Other Electricity Generation,20,Carbon monoxide,353718.6,Werribee,VIC,3030,-37.915089,144.641895,10,30,
2016/2017,534628,VIC,AGL Werribee Biogas Facility,AGL ENERGY SALES & MARKETING LIMITED,Other Electricity Generation,69,Oxides of Nitrogen,163511.4,Werribee,VIC,3030,-37.915089,144.641895,10,30,
2016/2017,534628,VIC,AGL Werribee Biogas Facility,AGL ENERGY SALES & MARKETING LIMITED,Other Electricity Generation,77,Sulfur dioxide,68074.14,Werribee,VIC,3030,-37.915089,144.641895,10,30,
2016/2017,595342,VIC,AGL Qenos Cogeneration,AGL ENERGY SERVICES PTY LIMITED,Fossil Fuel Electricity Generation,20,Carbon monoxide,5671.704,Altona ,VIC,3018,-37.848833,144.811306,10,30,
2016/2017,595342,VIC,AGL Qenos Cogeneration,AGL ENERGY SERVICES PTY LIMITED,Fossil Fuel Electricity Generation,69,Oxides of Nitrogen,73341,Altona ,VIC,3018,-37.848833,144.811306,10,30,
2016/2017,595342,VIC,AGL Qenos Cogeneration,AGL ENERGY SERVICES PTY LIMITED,Fossil Fuel Electricity Generation,92,Particulate Matter ?2.5 ‘m (PM2.5),6491.192,Altona ,VIC,3018,-37.848833,144.811306,10,30,
2016/2017,595342,VIC,AGL Qenos Cogeneration,AGL ENERGY SERVICES PTY LIMITED,Fossil Fuel Electricity Generation,70,Particulate Matter ?10.0 ‘m (PM10),6683.324,Altona ,VIC,3018,-37.848833,144.811306,10,30,
2016/2017,595342,VIC,AGL Qenos Cogeneration,AGL ENERGY SERVICES PTY LIMITED,Fossil Fuel Electricity Generation,77,Sulfur dioxide,390.6812,Altona ,VIC,3018,-37.848833,144.811306,10,30,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,20,Carbon monoxide,3156822.95,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,69,Oxides of Nitrogen,21347118.19,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,92,Particulate Matter ?2.5 ‘m (PM2.5),511510.585,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,70,Particulate Matter ?10.0 ‘m (PM10),4097618,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,77,Sulfur dioxide,51741378.92,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
